RegionCode,SubRegion,SiteName,Latitude,Longitude,Depth ,Location,InstrumentType,ProjectCode,tagNum,Fate,Deployment,Recovery,Duration,Species,BlockDimensions,PreWeightBlock,PreWeightEpoxied,PreVolume,PreRWDensity,PreCTDensity,PostWeightDirty,PostWeightClean,PostVolume,PostCTDensity,PostCTMacroboring,PostCTMacroboringRate,PostCTGrazing,PostCTGrazingRate,PostCTAccretion ,PostCTAccretionRate,Notes
PAG,Hawaii (CREP),Pagan,18.16788,145.79494,48,PAG-21,BMU,NCRMP,4721,PLATE ONLY,6/1/17,7/22/22,5.142465753,P. lobata,5x2x1,16.0528,31.4777,12.25502586,1.309895237,1.264103836,19.9256,15.9673,NA,NA,NA,NA,NA,NA,NA,NA,
PAG,Hawaii (CREP),Pagan,18.16788,145.79494,48,PAG-21,BMU,NCRMP,4722,SUCCESSFULLY RECOVERED,6/1/17,7/22/22,5.142465753,P. lobata,5x2x1,15.5395,31.3588,11.84418869,1.31199362,1.274407198,34.665,30.8984,8.693395615,1.3222616,0.260127068,0.050584113,2.890666007,0.562116725,3.174310684,0.617274054,
PAG,Hawaii (CREP),Pagan,18.16788,145.79494,48,PAG-21,BMU,NCRMP,4723,SUCCESSFULLY RECOVERED,6/1/17,7/22/22,5.142465753,P. lobata,5x2x1,16.0846,31.7358,NA,NA,NA,35.8564,30.2027,8.509202957,1.47043893,1.083535194,0.210703434,NA,NA,1.553449631,0.30208264,The scan of the prescan block was incomplete
SAI,CNMI (CREP),Saipan,15.15639,145.68976,41,SAI-23,BMU,NCRMP,4724,SUCCESSFULLY RECOVERED,5/18/17,4/22/22,4.931506849,P. lobata,5x2x1,12.4446,27.6402,11.36363125,1.095125293,1.088102488,24.9088,16.8738,0.879558563,1.291387953,0.020599365,0.004177094,10.46347332,2.121759868,0.129793167,0.02631917,
PAG,CNMI (CREP),Pagan,18.12009257,145.7546882,46,PAG-22,BMU,NCRMP,4725,SUCCESSFULLY RECOVERED,6/16/17,8/8/22,5.147945205,P. lobata,5x2x1,11.9342,27.576,10.90549278,1.094329274,1.090965136,24.8225,22.2531,5.10674572,1.183276404,0.096439362,0.018733564,5.702307698,1.107686168,0.22867012,0.044419688,
PAG,CNMI (CREP),Pagan,18.12009257,145.7546882,46,PAG-22,BMU,NCRMP,4726,SUCCESSFULLY RECOVERED,6/16/17,8/8/22,5.147945205,P. lobata,5x2x1,11.7419,27.4354,10.65222359,1.102295676,1.093631424,27.6667,24.6669,6.773869514,1.184306706,0.703536987,0.136663651,3.174817089,0.6167154,0.41896534,0.081384965,
PAG,CNMI (CREP),Pagan,18.12009257,145.7546882,46,PAG-22,BMU,NCRMP,4727,SUCCESSFULLY RECOVERED,6/16/17,8/8/22,5.147945205,P. lobata,5x2x1,11.909,27.6371,10.85971928,1.096621348,1.092123312,27.0575,24.1086,5.79731369,1.215790172,0.113905907,0.02212648,4.948499683,0.961257256,0.650605202,0.126381532,
PAG,CNMI (CREP),Pagan,18.12009257,145.7546882,46,PAG-22,BMU,NCRMP,4728,SUCCESSFULLY RECOVERED,6/16/17,8/8/22,5.147945205,P. lobata,5x2x1,12.2197,27.7427,10.89321041,1.121772144,1.114002928,26.2973,23.6818,5.398398399,1.236088765,0.106653214,0.020717628,5.388158798,1.046662034,0.379508972,0.073720476,
PAG,CNMI (CREP),Pagan,18.12009257,145.7546882,46,PAG-22,BMU,NCRMP,4729,SUCCESSFULLY RECOVERED,6/16/17,8/8/22,5.147945205,P. lobata,5x2x1,11.3136,27.2956,10.42957878,1.084760971,1.084572464,31.6391,26.2297,7.438980103,1.189702614,0.312003136,0.060607315,2.678595541,0.520323242,0.726745606,0.141171978,
GUA,CNMI (CREP),Guam,13.60334,144.92366,49,GUA-23,BMU,NCRMP,4730,SUCCESSFULLY RECOVERED,5/8/17,4/17/22,4.945205479,P. lobata,5x2x1,11.5813,27.0758,10.19205952,1.136306158,1.129416504,24.6387,20.9634,0.866280556,1.237032004,0.038469315,0.007779113,9.28730965,1.878043226,3.743711472,0.757038608,
GUA,CNMI (CREP),Guam,13.60334,144.92366,49,GUA-23,BMU,NCRMP,4731,SUCCESSFULLY RECOVERED,5/8/17,4/17/22,4.945205479,P. lobata,5x2x1,12.0039,27.934,10.64702225,1.127441994,1.12211636,21.7178,19.7975,2.745388985,1.254869439,0.19342804,0.039114257,7.708205225,1.55872294,0.084199905,0.017026574,
GUA,CNMI (CREP),Guam,13.60334,144.92366,49,GUA-23,BMU,NCRMP,4732,SUCCESSFULLY RECOVERED,5/8/17,4/17/22,4.945205479,P. lobata,5x2x1,11.1504,26.5764,10.42895222,1.069177398,1.07578064,21.1655,17.4146,0.775351524,1.38835421,0.01417923,0.002867268,9.639421466,1.949245892,0.681967735,0.137904833,
GUA,CNMI (CREP),Guam,13.60334,144.92366,49,GUA-23,BMU,NCRMP,4733,PLATE ONLY,5/8/17,4/17/22,4.945205479,P. lobata,5x2x1,12.0574,27.5017,10.93241787,1.102903323,1.093992088,16.7941,16.0806,NA,NA,NA,NA,NA,NA,NA,NA,
